num_students,event_attendance,time,day,temperature,campus_block,event_type,room_capacity,historical_occupancy,energy_consumption,traffic_level,resource_availability
663,0,10:00,Tuesday,15.9,Parking Area,None,600,15,26.48,6.3,0.975
964,0,07:00,Monday,14.6,Library,None,300,12,54.61,3.6,0.96
959,0,10:00,Thursday,28.5,Library,None,300,17,57.33,5.1,0.943
965,0,12:00,Wednesday,16.4,Canteen,None,250,16,83.45,4.8,0.936
835,196,16:00,Wednesday,34.6,Block A,Lecture,400,120,129.35,100.0,0.7
700,0,20:00,Saturday,29.3,Auditorium,None,1000,18,69.13,5.4,0.982
566,0,19:00,Wednesday,39.6,Parking Area,None,600,8,22.54,3.36,0.987
847,0,09:00,Wednesday,21.9,Auditorium,None,1000,29,78.79,11.31,0.971
450,293,18:00,Tuesday,16.6,Parking Area,Workshop,600,85,39.11,100.0,0.858
549,186,20:00,Sunday,33.7,Parking Area,Seminar,600,62,35.65,100.0,0.897
235,128,16:00,Saturday,20.8,Block C,Lecture,350,57,34.26,100.0,0.837
642,91,10:00,Saturday,27.7,Parking Area,Lecture,600,58,37.5,88.06,0.903
549,90,15:00,Thursday,14.5,Library,Lecture,300,48,50.57,59.4,0.84
964,0,16:00,Monday,22.8,Parking Area,None,600,21,31.07,11.47,0.965
123,78,17:00,Friday,33.0,Block C,Cultural,350,36,26.08,64.74,0.897
1029,21,18:00,Saturday,19.4,Block C,Lecture,350,55,78.38,35.1,0.843
711,279,16:00,Tuesday,16.3,Block A,Exam,400,209,145.86,100.0,0.478
101,185,14:00,Monday,15.1,Canteen,Exam,250,51,44.12,100.0,0.796
218,0,10:00,Friday,38.5,Canteen,None,250,3,24.44,0.9,0.988
1190,84,09:00,Saturday,25.3,Block A,Cultural,400,131,133.97,100.0,0.672
533,296,19:00,Saturday,31.3,Canteen,Workshop,250,54,71.15,100.0,0.784
997,284,14:00,Monday,18.9,Parking Area,Workshop,600,174,72.04,100.0,0.71
551,0,07:00,Monday,31.8,Library,None,300,6,31.17,1.8,0.98
245,463,10:00,Wednesday,30.7,Block A,Large Event,400,264,166.87,100.0,0.34
597,262,19:00,Thursday,17.3,Library,Workshop,300,71,54.46,100.0,0.763
210,70,07:00,Thursday,32.4,Auditorium,Lecture,1000,33,42.74,44.9,0.967
1018,0,09:00,Thursday,17.1,Block B,None,500,28,87.82,10.92,0.944
300,45,17:00,Friday,35.4,Block A,Lecture,400,34,43.33,42.51,0.915
932,0,14:00,Thursday,18.0,Canteen,None,250,15,78.39,4.5,0.94
899,0,11:00,Sunday,34.0,Auditorium,None,1000,33,129.13,9.9,0.967
1096,99,10:00,Wednesday,18.1,Parking Area,Cultural,600,120,64.64,100.0,0.8
217,45,16:00,Thursday,26.1,Block A,Seminar,400,40,32.55,44.85,0.9
480,0,08:00,Friday,13.9,Library,None,300,7,28.4,2.73,0.977
181,0,16:00,Monday,23.7,Library,None,300,3,9.25,1.17,0.99
743,0,10:00,Wednesday,23.1,Block C,None,350,20,44.8,6.0,0.943
248,24,14:00,Friday,40.0,Block C,Exam,350,30,37.19,21.0,0.914
371,198,08:00,Tuesday,22.3,Block B,Lecture,500,99,75.5,100.0,0.802
1183,0,07:00,Saturday,34.9,Parking Area,None,600,16,48.01,6.72,0.973
319,0,18:00,Friday,16.4,Block B,None,500,8,27.79,3.12,0.984
640,0,15:00,Thursday,19.0,Block C,None,350,18,42.0,5.4,0.949
666,42,07:00,Wednesday,33.6,Parking Area,Lecture,600,28,29.28,41.16,0.953
975,24,08:00,Monday,38.5,Parking Area,Lecture,600,40,52.11,43.68,0.933
403,420,09:00,Monday,20.6,Block A,Large Event,400,268,139.79,100.0,0.33
832,0,10:00,Saturday,19.0,Canteen,None,250,13,70.16,3.9,0.948
416,141,20:00,Tuesday,39.3,Canteen,Lecture,250,25,51.84,78.0,0.9
780,0,19:00,Thursday,34.5,Block A,None,400,15,58.47,4.5,0.963
321,0,13:00,Sunday,13.1,Block C,None,350,8,24.26,2.4,0.977
566,134,07:00,Saturday,17.4,Auditorium,Lecture,1000,73,98.07,88.9,0.927
